Date,SP adj.
8/1/1997,1770.44
7/1/1997,1770.02
6/1/1997,1678.38
5/1/1997,1597.63
4/1/1997,1464.08
3/1/1997,1520.09
2/1/1997,1535.88
1/1/1997,1478.63
12/1/1996,1438.82
11/1/1996,1424.15
10/1/1996,1360.5
9/1/1996,1313.09
8/1/1996,1293.45
7/1/1996,1259.53
6/1/1996,1309.81
5/1/1996,1296.39
4/1/1996,1271.26
3/1/1996,1275.96
2/1/1996,1287.45
1/1/1996,1221.78
12/1/1995,1229.24
11/1/1995,1190.39
10/1/1995,1164.42
9/1/1995,1159.9
8/1/1995,1122.7
7/1/1995,1122.14
6/1/1995,1085.87
5/1/1995,1056.66
4/1/1995,1026.61
3/1/1995,1000.07
2/1/1995,980.53
1/1/1995,950.39
12/1/1994,933.57
11/1/1994,945.5
10/1/1994,952.52
9/1/1994,959.63
8/1/1994,956.6
7/1/1994,933.91
6/1/1994,943.54
5/1/1994,938.56
4/1/1994,931.56
3/1/1994,967.4
2/1/1994,986.96
1/1/1994,993.3
12/1/1993,981.2
11/1/1993,974.75
10/1/1993,977.55
9/1/1993,971.73
8/1/1993,962.91
7/1/1993,951.04
6/1/1993,952.67
5/1/1993,948.01
4/1/1993,944.7
3/1/1993,962.47
2/1/1993,947.68
1/1/1993,937.08
12/1/1992,942.58
11/1/1992,914.25
10/1/1992,893.15
9/1/1992,909.3
8/1/1992,910.68
7/1/1992,906.98
6/1/1992,894.08
5/1/1992,911.65
4/1/1992,896.67
3/1/1992,897.85
2/1/1992,913.9
1/1/1992,925.04
12/1/1991,864.99
11/1/1991,859.85
10/1/1991,864.5
9/1/1991,866.48
8/1/1991,875.23
7/1/1991,857.13
6/1/1991,854.01
5/1/1991,855.85
4/1/1991,862.22
3/1/1991,846.66
2/1/1991,825.1
1/1/1991,742.45
12/1/1990,754.37
11/1/1990,723.48
10/1/1990,706.32
9/1/1990,729.76
8/1/1990,771.65
7/1/1990,847.69
6/1/1990,851.8
5/1/1990,832.32
4/1/1990,805.51
3/1/1990,807.43
2/1/1990,792.63
1/1/1990,819.31
12/1/1989,848.76
11/1/1989,829.63
10/1/1989,849.21
9/1/1989,853.04
8/1/1989,854.05
7/1/1989,819.15
6/1/1989,800.84
5/1/1989,778.48
4/1/1989,753.97
3/1/1989,734.8
2/1/1989,742.32
1/1/1989,723.58
12/1/1988,704.5
11/1/1988,691.64
10/1/1988,708.56
9/1/1988,686.84
8/1/1988,680.36
7/1/1988,697.22
6/1/1988,704.34
5/1/1988,669.19
4/1/1988,688.51
3/1/1988,700.23
2/1/1988,683.13
1/1/1988,664.74
12/1/1987,641.19
11/1/1987,651.83
10/1/1987,746.13
9/1/1987,850.86
8/1/1987,884.04
7/1/1987,836.63
6/1/1987,815.31
5/1/1987,784.8
4/1/1987,788.13
3/1/1987,801.12
2/1/1987,772.79
1/1/1987,730.29
12/1/1986,690.74
11/1/1986,681.63
10/1/1986,660.82
9/1/1986,663.92
8/1/1986,685.7
7/1/1986,673.49
6/1/1986,687.79
5/1/1986,672.41
4/1/1986,672.86
3/1/1986,655.53
2/1/1986,616.3
1/1/1986,583.24
12/1/1985,582.31
11/1/1985,556.31
10/1/1985,525.93
9/1/1985,521.92
8/1/1985,535.31
7/1/1985,548.26
6/1/1985,539.01
5/1/1985,529.07
4/1/1985,518.7
3/1/1985,517.67
2/1/1985,523.97
1/1/1985,499.39
12/1/1984,479.64
11/1/1984,484.89
10/1/1984,480.51
9/1/1984,485.69
8/1/1984,483.02
7/1/1984,445.64
6/1/1984,453.29
5/1/1984,464.99
4/1/1984,469.32
3/1/1984,471.01
2/1/1984,471.63
1/1/1984,501.37
12/1/1983,498.27
11/1/1983,501.19
10/1/1983,509.78
9/1/1983,509.78
8/1/1983,497.61
7/1/1983,513.25
6/1/1983,513.46
5/1/1983,507.89
4/1/1983,491.05
3/1/1983,476.38
2/1/1983,460.38
1/1/1983,453
12/1/1982,438.52
11/1/1982,432.66
10/1/1982,414.89
9/1/1982,383.86
8/1/1982,344.74
7/1/1982,344.5
6/1/1982,347.22
5/1/1982,373.05
4/1/1982,376.26
3/1/1982,359.98
2/1/1982,371.61
1/1/1982,381.91
12/1/1981,404.36
11/1/1981,402.71
10/1/1981,393.81
9/1/1981,389.71
8/1/1981,431.1
7/1/1981,432.72
6/1/1981,448.34
5/1/1981,450.28
4/1/1981,463.12
3/1/1981,462.1
2/1/1981,448.49
1/1/1981,469.36
12/1/1980,474.95
11/1/1980,487.29
10/1/1980,471.4
9/1/1980,462.37
8/1/1980,455.19
7/1/1980,444.76
6/1/1980,425.46
5/1/1980,404.24
4/1/1980,390.42
3/1/1980,401.32
2/1/1980,448.67
1/1/1980,437.65
12/1/1979,431.52
11/1/1979,419.48
10/1/1979,426.65
9/1/1979,446.96
8/1/1979,446.81
7/1/1979,431.35
6/1/1979,431.87
5/1/1979,428.25
4/1/1979,444.01
3/1/1979,440.31
2/1/1979,436.46
1/1/1979,448.22
12/1/1978,435.87
11/1/1978,431.43
10/1/1978,460.31
9/1/1978,479.7
8/1/1978,483.33
7/1/1978,454.18
6/1/1978,459.88
5/1/1978,463.68
4/1/1978,445.45
3/1/1978,430.13
2/1/1978,434.33
1/1/1978,443.35
12/1/1977,463.85
11/1/1977,467.63
10/1/1977,467.22
9/1/1977,481.19
8/1/1977,490.39
7/1/1977,504.33
6/1/1977,502.22
5/1/1977,502.85
4/1/1977,506.85
3/1/1977,519.11
2/1/1977,524.7
1/1/1977,544.77
12/1/1976,552.33
11/1/1976,535.71
10/1/1976,540.34
9/1/1976,562.35
8/1/1976,552.54
7/1/1976,560.28
6/1/1976,550.27
5/1/1976,549.93
4/1/1976,557.68
3/1/1976,555.28
2/1/1976,553.53
1/1/1976,534.87
12/1/1975,490.69
11/1/1975,500.07
10/1/1975,495.32
9/1/1975,476.12
8/1/1975,484.63
7/1/1975,523.93
6/1/1975,529.28
5/1/1975,519.98
4/1/1975,491.71
3/1/1975,488.1
2/1/1975,468.43
1/1/1975,427.6
12/1/1974,396.77
11/1/1974,427.69
10/1/1974,417.22
9/1/1974,413.33
8/1/1974,466.86
7/1/1974,492.92
6/1/1974,562.61
5/1/1974,566.48
4/1/1974,591.41
3/1/1974,625.87
2/1/1974,607.87
1/1/1974,633.22
12/1/1973,629.87
11/1/1973,682.28
10/1/1973,739.29
9/1/1973,717.3
8/1/1973,706.64
7/1/1973,733.26
6/1/1973,727.97
5/1/1973,749.73
4/1/1973,776.72
3/1/1973,796.99
2/1/1973,817.3
1/1/1973,853.33
12/1/1972,848.84
11/1/1972,833.46
10/1/1972,795.51
9/1/1972,797.83
8/1/1972,811.43
7/1/1972,785.52
6/1/1972,795.18
5/1/1972,794.87
4/1/1972,804.93
3/1/1972,798.71
2/1/1972,782.06
1/1/1972,771.67
12/1/1971,740.82
11/1/1971,696.48
10/1/1971,730.33
9/1/1971,748
8/1/1971,731.75
7/1/1971,746.82
6/1/1971,754.1
5/1/1971,774.04
4/1/1971,788.62
3/1/1971,764.49
2/1/1971,747.25
1/1/1971,721.2
12/1/1970,694.67
11/1/1970,653.44
10/1/1970,657.46
9/1/1970,646.79
8/1/1970,613.42
7/1/1970,596.1
6/1/1970,598.15
5/1/1970,604.98
4/1/1970,685.43
3/1/1970,712.51
2/1/1970,704.22
1/1/1970,733.53
12/1/1969,741.99
11/1/1969,787.71
10/1/1969,786.25
9/1/1969,782.13
8/1/1969,781.51
7/1/1969,790.17
6/1/1969,831.65
5/1/1969,882.28
4/1/1969,856.8
3/1/1969,844.53
2/1/1969,870.48
1/1/1969,879.68
12/1/1968,921.08
11/1/1968,914.14
10/1/1968,902.81
9/1/1968,886.09
8/1/1968,860.64
7/1/1968,882.37
6/1/1968,889.23
5/1/1968,870.97
4/1/1968,853.87
3/1/1968,797.46
2/1/1968,814.7
1/1/1968,855.71
12/1/1967,863.11
11/1/1967,841.69
10/1/1967,871.52
9/1/1967,875.48
8/1/1967,866
7/1/1967,854.98
6/1/1967,842.98
5/1/1967,856.25
4/1/1967,843.72
3/1/1967,831.95
2/1/1967,815.25
1/1/1967,788.1
12/1/1966,758.98
11/1/1966,755.81
10/1/1966,719.78
9/1/1966,730.57
8/1/1966,757.24
7/1/1966,810.93
6/1/1966,815.51
5/1/1966,824.88
4/1/1966,870.7
3/1/1966,850.11
2/1/1966,889.32
1/1/1966,901
12/1/1965,885.64
11/1/1965,892.51
10/1/1965,885.15
9/1/1965,868.42
8/1/1965,840.34
7/1/1965,824.99
6/1/1965,826.25
5/1/1965,872.97
4/1/1965,860.16
3/1/1965,851.73
2/1/1965,853.67
1/1/1965,847.47
12/1/1964,826.21
11/1/1964,840.78
10/1/1964,837.66
9/1/1964,823.44
8/1/1964,812.13
7/1/1964,821.57
6/1/1964,794.7
5/1/1964,802.04
4/1/1964,794.29
3/1/1964,782.97
2/1/1964,768.96
1/1/1964,759.62
12/1/1963,736.96
11/1/1963,723.9
10/1/1963,727.99
9/1/1963,728.56
8/1/1963,709.86
7/1/1963,690.76
6/1/1963,703.45
5/1/1963,706.06
4/1/1963,692.17
3/1/1963,661.06
2/1/1963,665.76
1/1/1963,657.08
12/1/1962,632.64
11/1/1962,606.38
10/1/1962,567.29
9/1/1962,585.77
8/1/1962,592.98
7/1/1962,577.27
6/1/1962,565.56
5/1/1962,640.38
4/1/1962,691.83
3/1/1962,716.97
2/1/1962,716.26
1/1/1962,706.88
12/1/1961,734.2
11/1/1961,727.45
10/1/1961,695.93
9/1/1961,688.35
8/1/1961,696.1
7/1/1961,669.73
6/1/1961,676.08
5/1/1961,685.14
4/1/1961,678.24
3/1/1961,660.62
2/1/1961,640.53
1/1/1961,615.29
12/1/1960,585.2
11/1/1960,571.5
10/1/1960,553.57
9/1/1960,568.52
8/1/1960,586.15
7/1/1960,579.2
6/1/1960,593.93
5/1/1960,574.71
4/1/1960,580.02
3/1/1960,574.58
2/1/1960,582.51
1/1/1960,608.08
12/1/1959,616.77
11/1/1959,597.66
10/1/1959,595.25
9/1/1959,597.81
8/1/1959,624.57
7/1/1959,628.14
6/1/1959,606.24
5/1/1959,613.63
4/1/1959,604.52
3/1/1959,596.63
2/1/1959,581.86
1/1/1959,588.85
12/1/1958,568.26
11/1/1958,555.82
10/1/1958,541.28
9/1/1958,520.14
8/1/1958,506.75
7/1/1958,486.8
6/1/1958,475.41
5/1/1958,464.26
4/1/1958,449.81
3/1/1958,448.92
2/1/1958,442.93
1/1/1958,441.43
12/1/1957,436
11/1/1957,436.21
10/1/1957,447.41
9/1/1957,477.14
8/1/1957,497.32
7/1/1957,526.28
6/1/1957,519.54
5/1/1957,512.95
4/1/1957,495.75
3/1/1957,486.27
2/1/1957,481.82
1/1/1957,505.37
12/1/1956,516.6
11/1/1956,510.89
10/1/1956,516.25
9/1/1956,524.86
8/1/1956,545.34
7/1/1956,546.6
6/1/1956,522.28
5/1/1956,529.22
4/1/1956,548.42
3/1/1956,544.05
2/1/1956,509
1/1/1956,505.79
12/1/1955,519.77
11/1/1955,513.04
10/1/1955,480.63
9/1/1955,506.08
8/1/1955,486.09
7/1/1955,489.06
6/1/1955,457.43
5/1/1955,432.37
4/1/1955,434.21
3/1/1955,419.72
2/1/1955,423.05
1/1/1955,409.37
12/1/1954,402.12
11/1/1954,383.1
10/1/1954,368.66
9/1/1954,360.3
8/1/1954,350.74
7/1/1954,343.89
6/1/1954,330.54
5/1/1954,327.91
4/1/1954,316.53
3/1/1954,303.26
2/1/1954,296.98
1/1/1954,290.59
12/1/1953,283.4
11/1/1953,279.63
10/1/1953,272.57
9/1/1953,265.59
8/1/1953,278.38
7/1/1953,278.27
6/1/1953,274.38
5/1/1953,285.64
4/1/1953,285.21
3/1/1953,299.99
2/1/1953,299.61
1/1/1953,302.18
12/1/1952,299.44
11/1/1952,287.82
10/1/1952,278.97
9/1/1952,284.95
8/1/1952,289.55
7/1/1952,288.4
6/1/1952,282.46
5/1/1952,275.97
4/1/1952,276.09
3/1/1952,277.96
2/1/1952,277.26
1/1/1952,280.26
12/1/1951,271.23
11/1/1951,264.11
10/1/1951,273.75
9/1/1951,276.21
8/1/1951,271.34
7/1/1951,259.96
6/1/1951,255.46
5/1/1951,259.96
4/1/1951,260.85
3/1/1951,257.4
2/1/1951,262.82
1/1/1951,256.38
12/1/1950,242.55
11/1/1950,246.49
10/1/1950,247.99
9/1/1950,240.08
8/1/1950,232.86
7/1/1950,221.42
6/1/1950,241.75
5/1/1950,238.88
4/1/1950,232.09
3/1/1950,225.72
2/1/1950,224.85
1/1/1950,220.54
12/1/1949,215.18
11/1/1949,207.82
10/1/1949,205.85
9/1/1949,198.99
8/1/1949,197.24
7/1/1949,191.21
6/1/1949,179.46
5/1/1949,190.67
4/1/1949,191.28
3/1/1949,192.34
2/1/1949,190.54
1/1/1949,196.5
12/1/1948,193.52
11/1/1948,193.98
10/1/1948,203.72
9/1/1948,197.5
8/1/1948,199.75
7/1/1948,206.61
6/1/1948,214.28
5/1/1948,207.47
4/1/1948,198.66
3/1/1948,187.63
2/1/1948,184.22
1/1/1948,192.12
12/1/1947,197.21
11/1/1947,202.96
10/1/1947,206.24
9/1/1947,201.04
8/1/1947,210.96
7/1/1947,218.1
6/1/1947,207.1
5/1/1947,201.04
4/1/1947,204.68
3/1/1947,212.53
2/1/1947,225.63
1/1/1947,217.2
12/1/1946,216.06
11/1/1946,211.75
10/1/1946,217.72
9/1/1946,227.11
8/1/1946,269.03
7/1/1946,279.89
6/1/1946,305.06
5/1/1946,310.35
4/1/1946,311.36
3/1/1946,294.11
2/1/1946,306.52
1/1/1946,303.99
12/1/1945,292.35
11/1/1945,289.05
10/1/1945,279.89
9/1/1945,268.69
8/1/1945,251.56
7/1/1945,250.71
6/1/1945,255.97
5/1/1945,254.2
4/1/1945,246.31
3/1/1945,240.27
2/1/1945,240.45
1/1/1945,232.68
12/1/1944,225.96
11/1/1944,222.38
10/1/1944,223.94
9/1/1944,218.56
8/1/1944,222.2
7/1/1944,225.5
6/1/1944,221.02
5/1/1944,212.29
4/1/1944,208.6
3/1/1944,213.51
2/1/1944,207.68
1/1/1944,209.1
12/1/1943,202.57
11/1/1943,199.92
10/1/1943,209.62
9/1/1943,211.57
8/1/1943,208.35
7/1/1943,217.92
6/1/1943,212.29
5/1/1943,208.6
4/1/1943,201.86
3/1/1943,197.6
2/1/1943,194.21
1/1/1943,183.31
12/1/1942,172.95
11/1/1942,173.07
10/1/1942,171.35
9/1/1942,161.51
8/1/1942,159.84
7/1/1942,161.75
6/1/1942,156.9
5/1/1942,149.37
4/1/1942,149.51
3/1/1942,156.97
2/1/1942,168.09
1/1/1942,174.63
12/1/1941,173.52
11/1/1941,186.81
10/1/1941,197.26
9/1/1941,208.21
8/1/1941,210.38
7/1/1941,214.29
6/1/1941,203.85
5/1/1941,201.06
4/1/1941,206.97
3/1/1941,215.13
2/1/1941,215.35
1/1/1941,229.73
12/1/1940,229.29
11/1/1940,240.8
10/1/1940,235.31
9/1/1940,233.12
8/1/1940,223.69
7/1/1940,219.08
6/1/1940,210.56
5/1/1940,232.02
4/1/1940,269.09
3/1/1940,266.45
2/1/1940,267.99
1/1/1940,271.68
12/1/1939,271.28
11/1/1939,277.86
10/1/1939,282.9
9/1/1939,278.07
8/1/1939,256.74
7/1/1939,260.53
6/1/1939,254.3
5/1/1939,249.85
4/1/1939,240.95
3/1/1939,273.67
2/1/1939,273.89
1/1/1939,274.13
12/1/1938,278.3
11/1/1938,286.63
10/1/1938,286.41
9/1/1938,255.85
8/1/1938,268.05
7/1/1938,266.52
6/1/1938,222.32
5/1/1938,217.31
4/1/1938,213.84
3/1/1938,224.5
2/1/1938,240.39
1/1/1938,244.54
12/1/1937,234.96
11/1/1937,237.15
10/1/1937,258.24
9/1/1937,302.19
8/1/1937,354.46
7/1/1937,350.86
6/1/1937,333.46
5/1/1937,346.47
4/1/1937,365.21
3/1/1937,391.13
2/1/1937,394.34
1/1/1937,383.02
12/1/1936,374.13
11/1/1936,380.71
10/1/1936,370.4
9/1/1936,351.98
8/1/1936,348.04
7/1/1936,343.69
6/1/1936,326.83
5/1/1936,315.77
4/1/1936,333.47
3/1/1936,333.02
2/1/1936,323.71
1/1/1936,306.14
12/1/1935,290.12
11/1/1935,290.12
10/1/1935,267.14
9/1/1935,260.19
8/1/1935,254.81
7/1/1935,238.67
6/1/1935,226.8
5/1/1935,216.92
4/1/1935,201.12
3/1/1935,188.47
2/1/1935,201.25
1/1/1935,209.05
12/1/1934,212.17
11/1/1934,209.23
10/1/1934,203.55
9/1/1934,200.47
8/1/1934,208.5
7/1/1934,216.98
6/1/1934,227.75
5/1/1934,226.46
4/1/1934,252.08
3/1/1934,247.93
2/1/1934,261.32
1/1/1934,245.16
12/1/1933,231.9
11/1/1933,227.48
10/1/1933,222.13
9/1/1933,246.09
8/1/1933,248.18
7/1/1933,263.2
6/1/1933,251.18
5/1/1933,216.14
4/1/1933,167.89
3/1/1933,151.81
2/1/1933,151.1
1/1/1933,168.75
12/1/1932,159.84
11/1/1932,163.98
10/1/1932,164.36
9/1/1932,189.26
8/1/1932,171.25
7/1/1932,113.1
6/1/1932,107.68
5/1/1932,123.48
4/1/1932,138.71
3/1/1932,181.15
2/1/1932,179.21
1/1/1932,178.2
12/1/1931,177.49
11/1/1931,217.01
10/1/1931,211.21
9/1/1931,242.14
8/1/1931,282.63
7/1/1931,291.37
6/1/1931,282.02
5/1/1931,287.56
4/1/1931,314.16
3/1/1931,345.01
2/1/1931,336.36
1/1/1931,308.57
12/1/1930,295.77
11/1/1930,311.14
10/1/1930,333.45
9/1/1930,384.34
8/1/1930,386.85
7/1/1930,389.52
6/1/1930,393.29
5/1/1930,434.92
4/1/1930,459.82
3/1/1930,434.92
2/1/1930,416.65
1/1/1930,389.8
12/1/1929,382
11/1/1929,365.24
10/1/1929,496.74
9/1/1929,555.49
8/1/1929,534.19
7/1/1929,505.44
6/1/1929,469.52
5/1/1929,463.43
4/1/1929,459.27
3/1/1929,459.27
2/1/1929,448.69
1/1/1929,446.35
12/1/1928,415.65
11/1/1928,411.63
10/1/1928,385.57
9/1/1928,375.71
8/1/1928,355.14
7/1/1928,344.01
6/1/1928,341.5
5/1/1928,357.01
4/1/1928,348.32
3/1/1928,327.67
2/1/1928,310.98
1/1/1928,311.11
12/1/1927,309.87
11/1/1927,302.77
10/1/1927,294.32
9/1/1927,300.64
8/1/1927,286.14
7/1/1927,270.11
6/1/1927,259.75
5/1/1927,259.38
4/1/1927,252.19
3/1/1927,246.15
2/1/1927,241.03
1/1/1927,235.09
12/1/1926,234
11/1/1926,228.8
10/1/1926,227.13
9/1/1926,233.69
8/1/1926,231.5
7/1/1926,221.41
6/1/1926,210.06
5/1/1926,199.39
4/1/1926,196.91
3/1/1926,203.71
2/1/1926,217.32
1/1/1926,216.98
12/1/1925,213.72
11/1/1925,209.12
10/1/1925,206.25
9/1/1925,199.65
8/1/1925,195.14
7/1/1925,192.54
6/1/1925,189.48
5/1/1925,188.3
4/1/1925,183.5
3/1/1925,184.39
2/1/1925,190.46
1/1/1925,187.77
12/1/1924,180.31
11/1/1924,172.08
10/1/1924,162.97
9/1/1924,166.08
8/1/1924,168.68
7/1/1924,162.13
6/1/1924,155.86
5/1/1924,152.97
4/1/1924,153.51
3/1/1924,156.21
2/1/1924,158.33
1/1/1924,156.71
12/1/1923,151.74
11/1/1923,146.77
10/1/1923,142.51
9/1/1923,145.48
8/1/1923,145.43
